"","","xout"
"321",2.5308,32970
"322",2.54872727272727,32980
"323",2.42236363636364,32990
"324",2.296,33000
"325",2.30316981132075,33010
"326",2.31033962264151,33020
"327",2.31750943396226,33030
"328",2.32467924528302,33040
"329",2.33184905660377,33050
"330",2.31969565217391,33060
"331",2.29926086956522,33070
"332",2.27882608695652,33080
"333",2.25839130434783,33090
"334",2.23496226415094,33100
"335",2.18458490566038,33110
"336",2.13420754716981,33120
"337",2.08383018867925,33130
"338",2.03345283018868,33140
"339",1.98307547169811,33150
"340",1.98359649122807,33160
"341",1.99684210526316,33170
"342",2.01008771929825,33180
"343",2.02333333333333,33190
"344",2.03657894736842,33200
"345",2.04982456140351,33210
"346",2.0630701754386,33220
"347",2.07631578947368,33230
"348",2.08956140350877,33240
"349",2.10280701754386,33250
"350",2.11605263157895,33260
"351",2.08017391304348,33270
"352",1.97060869565217,33280
"353",1.87375471698113,33290
"354",1.89130188679245,33300
"355",1.90884905660377,33310
"356",1.92639622641509,33320
"357",1.94394339622642,33330
"358",1.96149056603774,33340
"359",1.91174747474747,33350
"360",1.84518181818182,33360
"361",1.77861616161616,33370
"362",1.71205050505051,33380
"363",1.64548484848485,33390
"364",1.57891919191919,33400
"365",1.51235353535354,33410
"366",1.44578787878788,33420
"367",1.37922222222222,33430
"368",1.31265656565657,33440
"369",1.41316,33450
"370",1.53222666666667,33460
"371",1.65129333333333,33470
"372",1.77036,33480
"373",1.88942666666667,33490
"374",2.00849333333333,33500
"375",2.12756,33510
"376",2.18403225806452,33520
"377",2.14661290322581,33530
"378",2.1091935483871,33540
"379",2.07790566037736,33550
"380",2.06092452830189,33560
"381",2.04394339622642,33570
"382",2.02696226415094,33580
"383",2.00998113207547,33590
"384",1.993,33600
"385",2.113,33610
"386",2.233,33620
"387",2.353,33630
"388",2.40569230769231,33640
"389",2.39107692307692,33650
"390",2.37646153846154,33660
"391",2.36184615384615,33670
"392",2.4466,33680
"393",2.513,33690
"394",2.523,33700
"395",2.53,33710
"396",2.51,33720
"397",2.49,33730
"398",2.47,33740
"399",2.45713333333333,33750
"400",2.4728,33760
"401",2.48846666666667,33770
"402",2.49685,33780
"403",2.4761,33790
"404",2.45535,33800
"405",2.4346,33810
"406",2.40605882352941,33820
"407",2.34635294117647,33830
"408",2.28664705882353,33840
"409",2.22694117647059,33850
"410",2.2582,33860
"411",2.3122,33870
"412",2.35925714285714,33880
"413",2.39011428571429,33890
"414",2.42097142857143,33900
"415",2.45182857142857,33910
"416",2.43441025641026,33920
"417",2.40492307692308,33930
"418",2.3754358974359,33940
"419",2.34594871794872,33950
"420",2.36382857142857,33960
"421",2.38697142857143,33970
"422",2.41011428571429,33980
"423",2.42518518518519,33990
"424",2.42814814814815,34000
"425",2.43111111111111,34010
"426",2.43407407407407,34020
"427",2.43703703703704,34030
"428",2.44,34040
"429",2.40828571428571,34050
"430",2.37657142857143,34060
"431",2.34485714285714,34070
"432",2.33944117647059,34080
"433",2.36032352941176,34090
"434",2.38120588235294,34100
"435",2.38933333333333,34110
"436",2.28266666666667,34120
"437",2.176,34130
"438",2.083725,34140
"439",2.120975,34150
"440",2.158225,34160
"441",2.195475,34170
"442",2.22491176470588,34180
"443",2.18402941176471,34190
"444",2.14314705882353,34200
"445",2.10226470588235,34210
"446",2.0966,34220
"447",2.10602857142857,34230
"448",2.11545714285714,34240
"449",2.12588235294118,34250
"450",2.14029411764706,34260
"451",2.15470588235294,34270
"452",2.16911764705882,34280
"453",2.17748571428571,34290
"454",2.18434285714286,34300
"455",2.1912,34310
"456",2.19825,34320
"457",2.20575,34330
"458",2.19591176470588,34340
"459",2.14561764705882,34350
"460",2.09532352941176,34360
"461",2.04502941176471,34370
