Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision
LACMP23-29254	RLB-16-65	C2/L2	Mammalia	Rodentia	Geomyidae		Thomomys	sp.	lower rt m3		2/27/2019
LACMP23-29255	RLB-16-66	C2/L2	Mammalia	Rodentia	Cricetidae		Peromyscus	sp.	upper lt M1	size ~P. man - 1.75mm	
LACMP23-29256	RLB-16-67	C2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf maniculatus	upper rt M1	size ~P. man, large accessory loph	2/27/2019
LACMP23-29257	RLB-16-68	C2/L2	Mammalia	Rodentia	Cricetidae		Peromyscus	sp.	upper lt M2		
LACMP23-29258	RLB-16-69	C2/L2	Mammalia	Rodentia	Cricetidae		Peromyscus	sp.	upper rt M2	large	
LACMP23-29259	RLB-16-70	C2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	upper M3	worn	2/27/2019
LACMP23-29260	RLB-16-71	C2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	upper M3	worn	2/27/2019
LACMP23-29261	RLB-16-72	C2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	upper M3		2/27/2019
LACMP23-29262	RLB-16-73	C2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp.	lower lt m1	grade1	2/27/2019
LACMP23-29263	RLB-16-74	C2/L2	Mammalia	Rodentia	Cricetidae		Peromyscus	sp.	lower rt m1		
LACMP23-29264	RLB-16-75	C2/L2	Mammalia	Rodentia	Cricetidae		Peromyscus	sp.	lower rt m2		
LACMP23-29265	RLB-16-76	C2/L2	Mammalia	Rodentia	Cricetidae		Peromyscus	sp.	lower lt m2		
LACMP23-29266	RLB-16-77	C2/L2	Mammalia	Rodentia	Cricetidae		Peromyscus	sp.	lower rt m3		
LACMP23-29267	RLB-16-78	B1/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	upper lt P2	poorly preserved	
LACMP23-29268	RLB-16-79	C2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	juv. tooth frag		
LACMP23-29269	RLB-16-80	B2/L4	Mammalia	Rodentia	Sciuridae		Otospermophilus	cf. beecheyi	lt Maxilla with M1-M2		
LACMP23-29270	RLB-16-81	B2/L4	Mammalia	Rodentia	Cricetidae		cf. Microtus		lt anterior dentary frag		
LACMP23-29271	RLB-16-82	B2/L4	Mammalia	Rodentia	Heteromyidae		Dipodomys	sp	partial lower m1/m2		2/27/2019
LACMP23-29272	RLB-16-83	B2/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	lt dentary frag w/ p3-p4		
LACMP23-29273	RLB-16-84	B2/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	rt posterior dentary frag w/ p4-m3		
LACMP23-29274	RLB-16-85	B2/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	juv. lt anterior dentary frag w/ partial p3 and p4-m1		
LACMP23-29275	RLB-16-86	B2/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lower lt tooth		
LACMP23-29276	RLB-16-87	B2/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	rt premaxilla		
LACMP23-29277	RLB-16-88	B1/L3	Mammalia	Rodentia	Geomyidae		Thomomys	sp.	p4 (lower rt?)	broken occlusal surface	
LACMP23-29278	RLB-16-89	B1/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lt anterior maxillary frag		
LACMP23-29279	RLB-16-90	B1/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	partial upper incisor		
LACMP23-29280	RLB-16-91	B1/L4	Mammalia	Lagomorpha	Leporidae		cf. Sylvilagus		tooth frag		
LACMP23-29281	RLB-16-92	B1/L4	Mammalia	Lagomorpha	Leporidae		cf. Sylvilagus		tooth frag		
LACMP23-31423	RLB-16-93	B2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	?audubonii	rt anterior dentary w/o teeth		
LACMP23-31491	RLB-16-94	B2/L2	Mammalia	Carnivora	Mustelidae		Mustela	frenata	upper (rt?) M1		
LACMP23-31492	RLB-16-95	B2/L2	Mammalia	Rodentia	Cricetidae		Microtus	sp	lower rt m1	juv.?	
LACMP23-31493	RLB-16-96	B2/L2	Mammalia	Rodentia	Cricetidae		cf Microtus		lower m1	very juv.	
LACMP23-31494	RLB-16-97	B2/L2	Mammalia	Rodentia	Cricetidae		Microtus	sp	upper rt M1		
LACMP23-31495	RLB-16-98	B2/L2	Mammalia	Rodentia	Cricetidae		Microtus	sp	lower rt m1 posterior frag		
LACMP23-31496	RLB-16-99	B2/L2	Mammalia	Rodentia	Cricetidae		Microtus	sp	lower m1 anterior frag		
LACMP23-31497	RLB-16-100	B2/L2	Mammalia	Rodentia	Cricetidae		Microtus	sp	upper rt M2		
LACMP23-31498	RLB-16-101	B2/L2	Mammalia	Rodentia	Cricetidae		Microtus	sp	upper lt M3 posterior frag		
LACMP23-31499	RLB-16-102	B2/L2	Mammalia	Rodentia	Cricetidae		Microtus	sp	upper rt M3 posterior frag		
LACMP23-31500	RLB-16-103	B2/L2	Mammalia	Rodentia	Cricetidae		Microtus	sp	molar frag		
LACMP23-31452	RLB-16-104	B2/L2	Mammalia	Rodentia	Cricetidae		cf Microtus		molar frag		
LACMP23-31453	RLB-16-105	B2/L2	Mammalia	Rodentia	Cricetidae		cf Microtus		molar frag		
LACMP23-31454	RLB-16-106	B2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	lower lt p3		
LACMP23-31455	RLB-16-107	B2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth		
