Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats	Old IDs	order	genus	species	element
LACMP23-31566	NSF-17-66	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper rt M1		8/6/2019	y					
LACMP23-31567	NSF-17-67	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			molar frag			y					
LACMP23-31568	NSF-17-68	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2		1/29/2019	y					
LACMP23-31569	NSF-17-69	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		1/29/2019	y					
LACMP23-31570	NSF-17-70	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		1/29/2019	y					
LACMP23-31571	NSF-17-71	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	worn, grade 0	8/6/2019	y					
LACMP23-31572	NSF-17-72	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lower (lt?) m3	poorly preserved, digested?		y					
LACMP23-31573	NSF-17-73	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		1/29/2019	y					
LACMP23-31574	NSF-17-74	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 0	8/6/2019	y					
LACMP23-31575	NSF-17-75	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		1/29/2019	y					
LACMP23-31576	NSF-17-76	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper rt M1	Small accessory loph	8/6/2019	y					
LACMP23-31577	NSF-17-77	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 2+ (super divided), size intermidate b/w Pcal and Pman (~Ptruei?)	8/6/2019	y					
LACMP23-31578	NSF-17-78	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2		1/29/2019	y					
LACMP23-31579	NSF-17-79	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		1/29/2019	y					
LACMP23-31580	NSF-17-80	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			molar frag			y					
LACMP23-31581	NSF-17-81	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 0-1	8/6/2019	y					
LACMP23-31582	NSF-17-82	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m2			y					
LACMP23-31583	NSF-17-83	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper rt M2			y					
LACMP23-31584	NSF-17-84	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M2			y					
LACMP23-31585	NSF-17-85	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			broken molar 	(2 frags)		y					
LACMP23-31586	NSF-17-86	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2		1/29/2019	y					
LACMP23-31587	NSF-17-87	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	matrix on surface	8/6/2019	y					
LACMP23-31588	NSF-17-88	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 0-1	8/6/2019	y					
LACMP23-31589	NSF-17-89	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2		1/29/2019	y					
LACMP23-31590	NSF-17-90	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	Small accessory loph	8/6/2019	y					
LACMP23-31591	NSF-17-91	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	Upper lt M1		8/6/2019	y					
LACMP23-31592	NSF-17-92	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper rt M1	Surface covered	8/6/2019	y					
LACMP23-31593	NSF-17-93	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 0	8/6/2019	y					
LACMP23-31594	NSF-17-94	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	upper lt M1		8/6/2019	y					
LACMP23-31595	NSF-17-95	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			molar frag			y					
LACMP23-31596	NSF-17-96	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. maniculatus	upper lt M1	worn, has prominent accessory lophs	8/6/2019	y					
LACMP23-31597	NSF-17-97	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lower lt m1	grade 1	8/6/2019	y					
LACMP23-31598	NSF-17-98	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			molar frag			y					
LACMP23-31599	NSF-17-99	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m1 - multiple frags		8/6/2019	y					
LACMP23-31600	NSF-17-100	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			partial molar	occlusal surface covered with matrix		y					
LACMP23-31601	NSF-17-101	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			upper rt M2	occlusal surface covered with matrix		y					
LACMP23-31602	NSF-17-102	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	Size intermediate b/w Pcal and Pman, grade 0, worn	8/6/2019	y					
LACMP23-31603	NSF-17-103	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2		1/29/2019	y					
LACMP23-31604	NSF-17-104	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m3		1/29/2019	y					
LACMP23-31605	NSF-17-105	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	surface covered	8/6/2019	y					
LACMP23-31606	NSF-17-106	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2		1/29/2019	y					
LACMP23-31607	NSF-17-107	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			upper rt M2		1/29/2019	y					
LACMP23-31608	NSF-17-108	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			partial tooth	poorly preserved		y					
LACMP23-31609	NSF-17-109	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			upper rt M2	poorly preserved		y					
LACMP23-31619	NSF-17-110	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m2			y					
LACMP23-31618	NSF-17-111	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			broken molar 	2 frags		y					
LACMP23-31617	NSF-17-112	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	upper rt M3	strange lophs		y					
LACMP23-31616	NSF-17-113	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m2		8/6/2019	y					
LACMP23-31615	NSF-17-114	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	molar frag			y					
LACMP23-31611	NSF-17-115	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus	sp	maxillary frag			y					
LACMP23-31612	NSF-17-116	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus	sp	partial anterior rt dentary			y					
LACMP23-31613	NSF-17-117	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus	sp	partial anterior rt dentary			y					
LACMP23-31614	NSF-17-118	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus	sp	maxillary frag			y					
LACMP23-31610	NSF-17-119	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1		5/17/2020	y					
LACMP23-31620	NSF-17-120	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1	surface covered w/ matrix	5/17/2020	y					
LACMP23-31621	NSF-17-121	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M1			y					
LACMP23-31622	NSF-17-122	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial lower lt m1			y					
LACMP23-31623	NSF-17-123	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M1			y					
LACMP23-31624	NSF-17-124	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M1			y					
LACMP23-31625	NSF-17-125	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31626	NSF-17-126	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31627	NSF-17-127	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3			y					
LACMP23-31628	NSF-17-128	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m2	gracile for Microtus, juv?		y					
LACMP23-31629	NSF-17-129	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31630	NSF-17-130	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	broken molar	3 frags		y					
LACMP23-31631	NSF-17-131	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m2			y					
LACMP23-31632	NSF-17-132	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M2			y					
LACMP23-31633	NSF-17-133	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M2			y					
LACMP23-31634	NSF-17-134	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M3			y					
LACMP23-31635	NSF-17-135	C3/L5	Mammalia	Rodentia					partial tooth	2 frags		n					
